,synapse_id,pre_cell_id,pre_mtype,sectionlist_id,sectionlist_index,seg_x,synapse_type,dep,fac,use,tau_d,delay,weight,section_name,pre_mtype_name,synapse_model,mg,NMDA_ratio
116,116,1024,6,2,16,0.42,116,677.0,19.0,0.5068586468696593,1.8017278909683228,0.648498,0.973068416119,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
117,117,1024,6,2,16,0.392,116,681.0,20.0,0.511764407157898,1.8458796739578247,0.670106,1.10258042812,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
128,128,1225,6,2,16,0.763,116,683.0,20.0,0.5137057900428772,1.863351941108704,0.788584,1.1538323164,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
129,129,1225,6,2,31,0.737,116,676.0,18.0,0.5059213042259216,1.7932918071746826,1.4319,0.948322713375,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
160,160,1531,6,2,16,0.19,116,674.0,18.0,0.5039986968040465,1.7759881019592283,0.726484,0.897565245628,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
161,161,1531,6,2,14,0.888,116,661.0,14.0,0.4877851605415344,1.6300663948059082,1.41531,0.469528138638,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
162,162,1531,6,2,14,0.812,116,675.0,18.0,0.5041935443878174,1.7777419090270996,1.47272,0.902709722519,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
163,163,1531,6,2,14,0.835,116,668.0,16.0,0.49697095155715937,1.7127386331558228,1.45486,0.712033450603,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
164,164,1531,6,2,14,0.782,116,687.0,22.0,0.5186356902122498,1.9077210426330569,1.4955,1.28398180008,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
165,165,1531,6,2,14,0.73,116,660.0,14.0,0.486818253993988,1.6213642358779907,1.53499,0.444001823664,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
166,166,1531,6,2,14,0.757,116,675.0,18.0,0.5046133399009705,1.781520128250122,1.51391,0.913792312145,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
167,167,1531,6,2,14,0.628,116,658.0,13.0,0.4850199818611145,1.6051796674728391,1.61133,0.396527171135,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
168,168,1531,6,2,14,0.654,116,679.0,19.0,0.5091214179992676,1.8220928907394407,1.59074,1.03280568123,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
169,169,1531,6,2,15,0.022,116,657.0,13.0,0.48360353708267206,1.592431664466858,1.32103,0.359133064747,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
170,170,1531,6,2,84,0.146,116,672.0,17.0,0.5012973546981812,1.7516764402389526,1.32379,0.826250910759,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
171,171,1531,6,2,45,0.468,116,668.0,16.0,0.49622246623039246,1.706002116203308,0.754689,0.69227296114,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
172,172,1531,6,2,16,0.771,116,669.0,17.0,0.4980641007423401,1.7225769758224487,0.369599,0.740892589092,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
173,173,1531,6,2,16,0.8,116,656.0,13.0,0.48243311047554016,1.5818979740142822,0.392188,0.328233987093,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
174,174,1531,6,2,16,0.825,116,680.0,20.0,0.5105432271957396,1.83488929271698,0.411719,1.07034194469,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
175,175,1531,6,2,73,0.481,116,656.0,12.0,0.4817686378955841,1.5759178400039673,0.688535,0.310692191124,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
176,176,1531,6,2,18,0.343,116,675.0,18.0,0.5052472949028015,1.7872257232666016,0.6678,0.930528640747,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
177,177,1531,6,2,19,0.684,116,659.0,13.0,0.4855579137802124,1.6100213527679443,1.1436,0.410729259253,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
178,178,1656,6,2,15,0.857,116,676.0,19.0,0.5060145258903505,1.7941309213638303,0.981751,0.950784146786,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
179,179,1656,6,2,15,0.814,116,676.0,18.0,0.5057027339935303,1.7913246154785156,1.00257,0.942552030087,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
180,180,1656,6,2,84,0.691,116,676.0,19.0,0.5064541697502136,1.7980873584747314,1.34442,0.962389588356,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
181,181,1656,6,2,38,0.621,116,664.0,15.0,0.49145135283470154,1.6630620956420898,0.864643,0.566315352917,apical,L23_PC,ProbAMPANMDA_EMS,1.0,0.4
