,synapse_id,pre_cell_id,pre_mtype,sectionlist_id,sectionlist_index,seg_x,synapse_type,dep,fac,use,tau_d,delay,weight,section_name,pre_mtype_name,synapse_model,GABAAB_ratio,e_GABAA,e_GABAB
131,131,1255,13,2,70,0.409,10,695.0,19.0,0.10844772309064864,6.596177101135254,0.813707,0.527955412865,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
132,132,1255,13,2,73,0.194,10,662.0,18.0,0.10257989168167114,6.279314041137695,0.751236,0.456719905138,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
133,133,1255,13,2,73,0.17,10,821.0,21.0,0.13049454987049103,7.786705493927003,0.773311,0.795603752136,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
134,134,1255,13,2,38,0.153,10,885.0,22.0,0.14171253144741058,8.392476081848145,0.64744,0.931790053844,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
135,135,1255,13,2,73,0.486,10,989.0,24.0,0.15999846160411835,9.37991714477539,0.750503,1.15378141403,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
136,136,1255,13,2,72,0.747,10,1010.0,24.0,0.16374684870243073,9.582329750061037,0.985899,1.1992866993,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
137,137,1255,13,2,73,0.453,10,1044.0,25.0,0.16963081061840057,9.900064468383789,0.76471,1.27071809769,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
138,138,1255,13,2,73,0.462,10,952.0,23.0,0.15354977548122406,9.03168773651123,0.754367,1.0754942894,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
139,139,1255,13,2,70,0.023,10,1111.0,26.0,0.1813849359750748,10.534786224365234,0.768718,1.41341304779,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
140,140,1255,13,2,70,0.023,10,627.0,18.0,0.09657788276672365,5.955205917358398,0.768755,0.383855521679,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
141,141,1255,13,2,70,0.023,10,964.0,24.0,0.1555529534816742,9.139859199523924,0.768922,1.09981286526,apical,L23_NBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
142,142,1268,12,2,60,0.314,10,900.0,22.0,0.14437691867351532,8.536354064941406,0.928824,0.964135825634,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
143,143,1268,12,2,60,0.32,10,615.0,17.0,0.09444644302129744,5.8401079177856445,0.934716,0.35797983408,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
144,144,1268,12,2,60,0.329,10,925.0,23.0,0.1487610936164856,8.773098945617676,0.937239,1.01735973358,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
145,145,1268,12,2,73,0.776,10,663.0,18.0,0.1027718111872673,6.289677619934082,0.852673,0.459049761295,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
146,146,1268,12,2,40,0.541,10,793.0,21.0,0.12568295001983643,7.52687931060791,1.03315,0.737191021442,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
147,147,1268,12,2,73,0.212,10,883.0,22.0,0.14142784476280212,8.377103805541992,0.556164,0.928334116936,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
148,148,1268,12,2,14,0.584,10,647.0,18.0,0.09999822080135344,6.139904022216797,1.7312,0.425378382206,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
149,149,1268,12,2,14,0.554,10,1093.0,26.0,0.17819705605506897,10.362641334533691,1.75438,1.37471222878,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
150,150,1268,12,2,14,0.532,10,900.0,22.0,0.14443933963775635,8.539724349975588,1.77196,0.964893698692,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
151,151,1268,12,2,14,0.509,10,756.0,20.0,0.11919260770082472,7.176400661468506,1.78964,0.658398270607,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
152,152,1268,12,2,14,0.242,10,657.0,18.0,0.10172617435455322,6.233213424682617,1.98934,0.446355760098,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
153,153,1268,12,2,14,0.204,10,879.0,22.0,0.14077116549015045,8.341643333435057,2.01813,0.920361936092,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
154,154,1268,12,2,14,0.18,10,723.0,19.0,0.11324872821569441,6.855431079864502,2.03621,0.586239516735,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
155,155,1268,12,2,14,0.153,10,703.0,19.0,0.10987807810306548,6.6734161376953125,2.05657,0.545319855213,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
156,156,1268,12,2,14,0.13,10,799.0,21.0,0.1267194300889969,7.582849502563475,2.07389,0.749773979187,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
157,157,1268,12,2,14,0.1,10,827.0,21.0,0.13159349560737607,7.846049308776855,2.09662,0.808945119381,apical,L23_LBC,ProbGABAAB_EMS,0.0,-80.0,-75.84
